Doc Symbol,Title,publicaion date,subject,Lang available,Lang available
E/ESCWA/30/5,"SUPPORT FOR THE PALESTINIAN PEOPLE : IMPACT OF THE ISRAELI OCCUPATION AND PRACTICES, ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018",05/24/2018,I1800227;I1800228,EP AP,08/24/2018 01:00:09 AM
E/ESCWA/30/6,"OUTCOMES OF THE 2018 ARAB FORUM ON SUSTAINABLE DEVELOPMENT, ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018",06/05/2018,I1800250;I1800251,EP AP,08/24/2018 01:00:09 AM
E/ESCWA/30/7,"LINKS BETWEEN INFORMATION AND COMMUNICATION TECHNOLOGY PROCESSES AND SUSTAINABLE DEVELOPMENT, ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018",05/23/2018,I1800223;I1800224,EP AP,08/24/2018 01:00:09 AM
E/ESCWA/30/INF.1,"INFORMATION FOR PARTICIPANTS, UNITED NATIONS ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA), THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018",06/18/2018,I1800201;I1800202,EP AP,08/24/2018 01:00:09 AM
E/ESCWA/30/INF.2,"LIST OF DOCUMENTS : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA), THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018",05/24/2018,I1800233;I1800234,EP AP,08/24/2018 01:00:09 AM
E/ESCWA/30/L.1,"PROVISIONAL AGENDA AND ANNOTATIONS, ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018",05/24/2018,I1800225;I1800226,EP AP,08/24/2018 01:00:09 AM
E/ESCWA/30/L.2,"ORGANIZATION OF WORK : NOTE BY THE SECRETARIAT, ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018",06/11/2018,I1800261;I1800262,EP AP,08/24/2018 01:00:09 AM
E/ESCWA/2017/EC.3/8/REPORT,"REPORT OF THE THIRD MEETING OF THE EXECUTIVE COMMITTEE, RABAT, 6-7 MAY 2017  ",06/17/2017,I1700389;I1700390,EP AP,08/24/2018 10:00:26 AM
E/ESCWA/EDID/2017/IG.2/9/REPORT,"REPORT : TWELFTH SESSION OF THE COMMITTEE ON LIBERALIZATION OF FOREIGN TRADE, ECONOMIC GLOBALIZATION AND FINANCING FOR DEVELOPMENT (FOCUS ON FINANCE), BEIRUT, 4-5 DECEMBER 2017",01/16/2018,I1800023;I1800024,EP AP,08/24/2018 10:00:40 AM
E/ESCWA/SDD/2017/IG.1/6/REPORT,"REPORT  ELEVENTH SESSION OF THE COMMITTEE ON SOCIAL DEVELOPMENT, KHARTOUM, 17-18 OCTOBER 2017",11/20/2017,I1700704;I1700705,EP AP,08/24/2018 10:00:42 AM
E/ESCWA/30/10,"IMPLEMENTATION OF THE DOHA DECLARATION AND OTHER RESOLUTIONS ADOPTED BY THE COMMISSION AT ITS TWENTY-NINTH SESSION ; ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018",06/11/2018,I1800256;I1800257,EP AP,08/25/2018 01:00:54 AM
E/ESCWA/30/11,"REPORTS OF THE EXECUTIVE COMMITTEE : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018",05/15/2018,I1800211;I1800212,EP AP,08/25/2018 01:00:54 AM
E/ESCWA/30/12,"REPORTS OF THE COMMISSION'S SUBSIDIARY BODIES : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018",05/15/2018,I1800213;I1800214,EP AP,08/25/2018 01:00:54 AM
E/ESCWA/30/13,"PROGRAMME PERFORMANCE IN THE BIENNIUM 2016-2017 ; ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018",05/02/2018,I1800195;I1800196,EP AP,08/25/2018 01:00:54 AM
E/ESCWA/30/14,"TECHNICAL COOPERATION AND REGIONAL ADVISORY SERVICES ; ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018",05/29/2018,I1800236;I1800237,EP AP,08/25/2018 01:00:54 AM
E/ESCWA/30/15,"FINANCIAL STATUS OF THE COMMISSION : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018",04/11/2018,I1800153;I1800154,EP AP,08/25/2018 01:00:54 AM
E/ESCWA/30/16,"PROPOSED AMENDMENTS TO THE STRATEGIC FRAMEWORK AND PROGRAMME OF WORK FOR THE BIENNIUM 2018-2019 : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018",04/25/2018,I1800190;I1800191,EP AP,08/25/2018 01:00:54 AM
E/ESCWA/30/17,"TECHNOLOGY FOR SUSTAINABLE DEVELOPMENT : CREATING DECENT JOBS AND EMPOWERING YOUTH IN ARAB COUNTRIES : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018",04/19/2018,I1800171;I1800172,EP AP,08/25/2018 01:00:54 AM
E/ESCWA/30/17/CRP.1,"TECHNOLOGY FOR SUSTAINABLE DEVELOPMENT IN THE ARAB REGION ROUNDTABLES : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018",05/17/2018,I1800216;I1800217,EP AP,08/25/2018 01:00:54 AM
E/ESCWA/30/8,"PROPOSAL FOR THE ESTABLISHMENT OF AN ARAB CENTRE FOR CLIMATE CHANGE POLICIES AT ESCWA :  ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018",05/29/2018,I1800230;I1800231,EP AP,08/25/2018 01:00:54 AM
E/ESCWA/30/9,"ACTIVITIES OF THE ESCWA TECHNOLOGY CENTRE OVER THE PERIOD 2016-2017 : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018",08/24/2018,I1800204;I1800205,EP AP,08/25/2018 01:00:54 AM
E/ESCWA/RFSD/2018/6/REPORT,"REPORT 2018 ARAB FORUM FOR SUSTAINABLE DEVELOPMENT “NATURAL RESOURCES, FUTURE GENERATIONS AND THE COMMON GOOD” UNITED NATIONS HOUSE, BEIRUT, 24-26 APRIL 2018",05/20/2018,I1800239;I1800240,EP AP,08/25/2018 01:00:54 AM
E/ESCWA/SDD/2018/1,"DISABILITY IN THE ARAB REGION, 2018",08/14/2018,I1800248;I1800249,EP AP,08/25/2018 01:00:54 AM
E/ESCWA/SDD/2017/6,"SOCIAL DEVELOPMENT REPORT 2  : INEQUALITY, AUTONOMY AND CHANGE IN THE ARAB REGION",08/07/2018,I1800180,EP,08/28/2018 01:00:09 AM
E/ESCWA/SD/2018/1,,08/23/2018,I1800200,AP,08/28/2018 01:00:09 AM
E/ESCWA/TDD/2018/INF.1,FOSTERING OPEN GOVERNMENT IN THE ARAB REGION,07/25/2018,I1800229;I1800235,EP AP,08/28/2018 01:00:09 AM
E/ESCWA/CSS/2018/2,ESCWA PUBLICATIONS CATALOGUE 2016-2017 = ???? ??????? ??????? 2016-2017,05/02/2018,I1800107,EP,08/29/2018 01:00:08 AM
E/ESCWA/DOC/36,DOCUMENTS AND PUBLICATIONS ISSUED BY ESCWA FROM 1 JANUARY 2016 TO 31 DECEMBER 2017,08/14/2018,I1800194,EP,08/29/2018 01:00:08 AM
E/ESCWA/SDD/2017/TECHNICAL PAPER.20,2017 SITUATION REPORT ON INTERNATIONAL MIGRATION: MIGRATION IN THE ARAB REGION AND THE 2030 AGENDA FOR SUSTAINABLE DEVELOPMENT : EXECUTIVE SUMMARY,01/08/2018,I1800018,EP,08/29/2018 01:00:09 AM
E/ESCWA/SDPD/2017/RICCAR/SUMMARY,ARAB CLIMATE CHANGE ASSESSMENT REPORT : EXECUTIVE SUMMARY,08/28/2017,I1700802,EP,08/30/2018 10:00:28 AM
E/ESCWA/SDPD/2017/2,ARAB REGION PROGRESS IN SUSTAINABLE ENERGY : GLOBAL TRACKING FRAMEWORK REGIONAL REPORT,02/13/2017,I1700789;I1700790,EP CP,09/06/2018 10:00
E/ESCWA/EDID/2018/TP.4 ,"IMPROVING ARAB REGIONAL DEVELOPMENT PLANNING: AN ASSESSMENT OF GOOD ECONOMIC GOVERNANCE TOOLS TO SUPPORT SCIENCE, TECHNOLOGY, AND INNOVATION POLICY-MAKING ",07/31/2018,I1899999,EP,09/15/2018 01:00:14 AM
E/ESCWA/SD/2018/MANUAL.1,REGIONAL GUIDEBOOK TO IMPROVE DISABILITY DATA COLLECTION AND ANALYSIS IN THE ARAB COUNTRIES : IMPLEMENTING THE WASHINGTON GROUP QUESTIONS ON FUNCTIONING,09/12/2018,I1800099;I1800094,EP AP,09/15/2018 01:00:14 AM
